Aleksandrów Kujawski;	52,8765365;	18,6935744
Aleksandrów £ódzki;	51,8196533;	19,3035375
Alwernia;	50,0690434;	19,5396737
Andrychów;	49,8555791;	19,3436756
Annopol;	50,8851655;	21,8550836
Augustów;	53,8437331;	22,9802357
Babimost;	52,165312;	15,8285175
Baborów;	50,1563566;	17,9859393
Baranów Sandomierski;	50,4994982;	21,5417887
Barcin;	52,8632346;	17,9472463
Barczewo;	53,8297112;	20,6911497
Bardo;	50,50676;	16,7402382
Barlinek;	52,9920762;	15,2166391
Bartoszyce;	54,2523695;	20,8143766
Barwice;	53,7445649;	16,3549399
Be³chatów;	51,3650175;	19,3691833
Be³¿yce;	51,175063;	22,2749995
Bêdzin;	50,3230785;	19,1322201
Bia³a;	50,3853609;	17,6599107
Bia³a Piska;	53,6113625;	22,0581433
Bia³a Podlaska;	52,0338399;	23,1193948
Bia³a Rawska;	51,8075978;	20,4720942
Bia³obrzegi;	51,6482305;	20,9497458
Bia³ogard;	54,0064367;	15,9870974
Bia³y Bór;	53,8987414;	16,8377275
Bia³ystok;	53,132398;	23,1591679
Biecz;	49,7305351;	21,249421
Bielawa;	50,6871117;	16,6160879
Bielsk Podlaski;	52,7687555;	23,1925618
Bielsko-Bia³a;	49,822118;	19,0448936
Bieruñ;	50,0931922;	19,0918262
Bierutów;	51,1252738;	17,5400351
Bie¿uñ;	52,9617996;	19,8899936
Bi³goraj;	50,5424846;	22,7209326
Biskupiec;	53,8688;	20,95518
Bisztynek;	54,0866828;	20,908828
Blachownia;	50,7820239;	18,9684255
B³aszki;	51,6525013;	18,4329261
B³a¿owa;	49,8856022;	22,1008013
B³onie;	52,1946065;	20,6169694
Bobolice;	53,954693;	16,5884779
Bobowa;	49,7130028;	20,9576054
Bochnia;	49,9693563;	20,430541
Bodzentyn;	50,9409927;	20,9573478
Bogatynia;	50,9077147;	14,9539185
Boguchwa³a;	49,9806882;	21,9391822
Boguszów-Gorce;	50,7566795;	16,2043895
Bojanowo;	51,7075453;	16,7481308
Boles³awiec;	51,2630333;	15,5651049
Bolków;	50,9219695;	16,1006519
Borek Wielkopolski;	51,916153;	17,2425955
Borne Sulinowo;	53,5812939;	16,538117
Braniewo;	54,3824857;	19,8275588
Brañsk;	52,7454145;	22,8328169
Brodnica;	53,258092;	19,3993626
Brok;	52,6989287;	21,8601815
Brusy;	53,8861557;	17,7190437
Brwinów;	52,1425551;	20,7170701
Brzeg;	50,8614882;	17,470497
Brzeg Dolny;	51,2613682;	16,7228123
Brzesko;	49,9678396;	20,6068496
Brzeszcze;	49,9819014;	19,1528065
Brzeœæ Kujawski;	52,6048164;	18,9015463
Brzeziny;	51,8004949;	19,7517694
Brzostek;	49,8784697;	21,411865
Brzozów;	49,6950395;	22,0196537
Budzyñ;	52,8909489;	16,9835951
Buk;	52,357408;	16,5166799
Bukowno;	50,2697776;	19,4638131
Busko-Zdrój;	50,46759;	20,71919
Bychawa;	51,0152225;	22,534535
Byczyna;	51,1142355;	18,2143288
Bydgoszcz;	53,1219648;	18,0002529
Bystrzyca K³odzka;	50,2968684;	16,652017
Bytom;	50,3470387;	18,9231857
Bytom Odrzañski;	51,7308267;	15,826918
Bytów;	54,168855;	17,4922953
Cedynia;	52,8785605;	14,202564
Che³m;	51,1339221;	23,4711548
Che³mek;	50,1003348;	19,2542585
Che³mno;	53,3493915;	18,4235473
Che³m¿a;	53,1860233;	18,6112806
Chêciny;	50,8000835;	20,4622228
Chmielnik;	50,6145952;	20,7510406
Chocianów;	51,4168327;	15,8986889
Chociwel;	53,4663949;	15,3314436
Chocz;	51,97514;	17,8707
Chodecz;	52,4051735;	19,0272596
Chodzie¿;	52,9886824;	16,9159506
Chojna;	52,9629793;	14,4314113
Chojnice;	53,6952912;	17,5614973
Chojnów;	51,2722894;	15,9335241
Choroszcz;	53,143925;	22,9884588
Chorzele;	53,2610476;	20,8978631
Chorzów;	50,2978791;	18,9544466
Choszczno;	53,1704801;	15,4167349
Chrzanów;	50,1411926;	19,4028502
Ciechanowiec;	52,6787967;	22,4991103
Ciechanów;	52,8819798;	20,6191479
Ciechocinek;	52,882552;	18,7906883
Cieszanów;	50,2454329;	23,1301265
Cieszyn;	49,7488623;	18,6334308
Ciê¿kowice;	49,786464;	20,9737542
Cybinka;	52,1940293;	14,7968841
Czaplinek;	53,560673;	16,2319428
Czarna Bia³ostocka;	53,2982835;	23,2851013
Czarna Woda;	53,8441983;	18,0984293
Czarne;	53,68353;	16,94221
Czarnków;	52,9050335;	16,5639572
Czchów;	49,8339446;	20,6731487
Czechowice-Dziedzice;	49,9112146;	19,007564
CzeladŸ;	50,3184581;	19,0736572
Czempiñ;	52,1431479;	16,7613308
Czerniejewo;	52,4296119;	17,489398
Czersk;	53,796196;	17,9756228
Czerwieñsk;	52,0130585;	15,4211463
Czerwiñsk nad Wis³¹;	52,3968191;	20,3096485
Czerwionka-Leszczyny;	50,1449958;	18,6531994
Czêstochowa;	50,8120466;	19,113213
Cz³opa;	53,0884595;	16,1201069
Cz³uchów;	53,6651462;	17,3588324
Czy¿ew;	52,7975512;	22,3123475
